water: bu
water: bu
water: bu
water: bu ~ pu
water: pu
water: pu
water: pu
we: einei
weep: aseiko
weep: dime
weep: dime
weep: hele
weep: ijoko ibo
weep: ijoko ibo
weep: ijoko ibo
weep: joxo-bu
weep: rimei-
weep: riməi
weep: sere
weep: timë
we: eye
we: eye
we: eye
we: mangkreban
we: meimo
we: meye
we: meye
we: meye
we: meye
wet: filepoke
wet: filëpoke
wet: filëuboqe
wet: toereuboke
we two: eye-be
we two: meye-be
we two: meye-be
we two: meye-be
what: inde
what: maka
what: maqa
what: tahe
what: tai(se)
where: mba
where: mpa
white: au
white: keleumom
white: keleu-mom
white: këlëu(mon)
white: kələu(mon)
white: keleumon(g)
white: kereumon(g)
white: qëlëumam
who: ëndë
who: hinë
who: hinë
who: ndë
who: sinë
who: (we)sinde
wide: käu-gäu
wife: namie
wind: alu
wind: alu
wind: alu
wind: alu(-naume)
wind: aru
wind: boye
wind: poye
wing: dëmë
wing: nodo
wing: nodo
wing: nodo
wing: noro
wing: noro
wing: noto
with: -bële
woman: miä
woman: miɛ
woman: miya
woman: miyä
woman: miyä
woman: miye
wood: o
wood: yë
wood: yë
wood: yə
yellow: yanggo-yanggo
yellow: yaŋgo-yaŋgo
yellow: yangko(ma)
yellow: yangko(ma)
yellow: yangko(pu)
yesterday: wena
yesterday: wena
yesterday: wena
yesterday: wena ya
yesterday: wena (ya)
you: mëyë
you: mëyë
you: më(yë)
you: nemene
you two: mëye-be
you two: mëye-be
you two: mëye-be
