sister: ǯaǯe
sister: ǯaǯe
sit: -ah
sit: -as
sit: -aty
sit: nac
sit: nac
sit: nah
sit: nas
sit: nas
sit: ̞nas
skin: čaŋgo
skin: čaŋgwo
skin: changgo
skin: changgwo
skin: chonggo
skin: čoŋgo
skin: čoŋgo
skin: čoŋgo
skin: tsaŋgwʌ
small: kwandi
small: kwandiwo
small: kwandi(wo)
small: kwanhji
small: kwanǯi
small: kwochihwo
small: kwočihwo
small: wojhijhu
small: wokwandi
small: wokwandi
small: wokwandi
small: woǯiǯu
smoke: cigaiyi
smoke: gaiyi
smoke: hubo
smoke: hubo
smoke: obo
smoke: obo
smoke: suwo\i
smoke: suwoʔi
smoke: (tyi)gaiyi
smoke: wasebo
smoke: wase-bo
smoke: wase-so\i
smoke: wasesoʔi
snake: ɣati
snake: ɣati
snake: ɣati
snake: ɣati
snake: ɣati
snake: gahi
snake: gahi
snake: ghati
snake: ghati
stand: yenu
stand: yenu
stand: yenu
stand: yenu
stand: yenu
stand: yenu
stand: yenu
stand: yenu
stand: yenu
star: dominggi
star: domiŋgi
star: pomi\i
star: pomiʔi
star: tem
star: tem
star: tem
star: tominggi
star: tomiŋgi
star: tomiŋgi
stone: wa
stone: wa
stone: wec
stone: wec
stone: weh
stone: weh
stone: wet
stone: wet
stone: wet
stone: wet
stone: wety
sun: bogi
sun: bogi
sun: ghiny
sun: ɣiɲ
sun: ngeni
sun: ŋeni
sun: ŋiɲ
sun: ŋiɲ
sun: ŋiɲ
sun: ŋiɲ
sun: nginy
sun: nginy
sun: nginy
sun: ngïny
tail: cumo
tail: humo
tail: humo
tail: tumo
tail: tumo
tail: tumo
tail: tumo
tail: tumo
tail: t(y)umo
take: nïnggu g-ad
that: de
that: te
that: te
they: m-/r-
they: ni
they: ni
they: r-
they two: m-/r-
this: ßen
this: v-en/w-en/r-en
this: wɛn
thorn: at
thorn: ʔwat
thorn: ʔwat
thorn: ʔwat
thorn: ʔwat
thorn: ʔwat
thorn: yuwo
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: nu
thou: -o
thou: -o
thou: y-/kw-
throat: gɨbe
throat: gɨbe
throat: gɨbe
throat: gɨbe
throat: gïbe
throat: gïbe
throat: gïbe
tie: ta\ …ab
tomorrow: franggi
tomorrow: pranggi
tomorrow: praŋgi
tomorrow: yamb
tomorrow: yambogri
tomorrow: yambogri
tomorrow: yambugri
tomorrow: yambugri
tomorrow: φraŋgi
tomorrow: φraŋgi
tomorrow: φraŋgi
tongue: minjhu
tongue: minjhu
tongue: minǯu
tongue: minǯu
tongue: minǯu
tongue: minǯu
tongue: minǯu
tongue: ngari
tongue: ŋari
tongue: ŋari
tooth: cawo
tooth: cawo
tooth: hawo
tooth: hawo
tooth: hawo
tooth: sawo
tooth: sawo
tooth: sawo
tooth: sawo
tooth: tyawo
tree: ɲimer
tree: nyimer
tree: nyumo
tree: nyumo
tree: nyumo
tree: ɲumo
tree: ɲumo
tree: ɲumo
tree: ɲumo
tree: ɲumo
tree: ɲumo
two: meremi
two: mere-mi/mere-yi/mere-njhi
two: mereyi
two: mremi
two: temi
two: temi
two: temi
two: temi
two: te-mi/te-ri/te-nggi
two: teri
two: teri
two: teri
two: teri
two: teri
two: tremi
two: t(r)e-mi/te-ri/te-vi
walk: kwo
walk: o
walk: o
walk: o
warm: hungduwe
warm: huŋduwe
warm: suŋgo
warm: sunggo\ tuwi …-af
warm: sungguwe
warm: suŋguwe
warm: sunguwe
warm: tingguwe
warm: tiŋguwe
warm: tiŋguwe
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
water: wiye
we: b-
we: beghi
we: beɣi
we: beɣi
we: beɣi
we: bewi
we: bewi
we: f-
we: f-
we: ngebeghi
we: ŋebeɣi
we: ngebewu
we: ŋebewu
we: p-
wet: bra\
wet: farai\
wet: farai\
we two: p-
what: buɣe
what: buɣe
what: de bughe
what: te fughe
what: te fwe
what: φuɣe
what: φuɣe
what: φuɣe
what: φwe
white: ʔwemy
white: ʔwemy
white: wemye
white: ʔwemye
white: ʔwemye
white: ʔwemye
white: ʔwemye
white: wem(ye)
white: wem(ye)
who: dige
who: ndige
who: (n)dige
who: tiɣe
who: tighe
