smoke: kiɟau
smoke: kiɟau
smoke: kijau
smoke: kijau
smoke: kijau
smoke: kijau
smoke: kijo
smoke: kiɟo
smoke: kiyau
smoke: kiyau
smoke: kiyau
smoke: kiyau
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: tawae
snake: unane
snake: unane
snake: unane
spit: tanto
spit: tanto
spit: tantum
spit: tatom
spit: tatom
spit: tautom
split: rabau
split: raporar-
stand: seo
stand: seontet
stand: seontet
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
star: tum
stick: isyo
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oram
stone: oroma
stone: oroma
stone: oroman
stone: oroman
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sun: uma
sweet: manaban
sweet: manava
sweet: manavan
sweet: manavan
sweet: manavan
sweet: manavan
sweet: naume
swim: koßoni
swim: kubuni
swim: kußuni
swim: mana eɟa
swim: mana radan
swim: mana raiɟa
swim: suija
tail: ateva
tail: ate-va
tail: ate-va
take: rako
there: umba
there: wato
they: na-
they two: yo
they two: yo
they: u-
they: wenanau
they: wo
they: wo
thick: tafeya
thick: tapapekan
thick: tapapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: tapekan
thick: taφeya
thin: manini
thin: manini
thin: maniniɟam
thin: maninian
thin: maninian
thin: maninijam
thin: sambera
thin: sambera
thin: sambera
thin: sambera
thin: samberam
thin: samberam
this: so
thou: no
thou: no
thou: ny-a
thou: nyo
thou: uein
thou: ue-in
thou: we
thou: wea
thou: wi-nya
thou: wi-nyo
three: madet
three: madet
three: mainde
three: mainde
three: mande
three: mande
three: mande
three: mande
three: mande
three: mande
three: manded
three: manded
three: mandei
three: mandet
thunder: kaitir
thunder: kaitir
thunder: kaitir
thunder: kaitir
thunder: kaitir
thunder: kaitir
thunder: katitir
thunder: katitir
thunder: katitir
thunder: katitir
thunder: kunduma
thunder: kunduma
tongue: nawaná
tooth: atu
tooth: atu
tooth: n-atu
tree: mote
tree: nyo
tree: nyo
tree: nyo
tree: nyo
tree: ɲo
two: diru
two: diru
two: diru
two: ɟiru
two: ɟiru
two: ɟiru
two: ɟiru
two: ɟiru
two: jiru
two: jiru
two: jiru
two: jiru
two: jiru
two: jiru
two: rurum
two: rurum
two: rurum
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
unripe: kamuram
vomit: neno
vomit: nine
vomit: ninyo
vomit: ninyo
vomit: ninyo
vomit: nyunu
walk: moronto
walk: nansanan
walk: nansanan
walk: nansanan
walk: nansanan
walk: nantanan
walk: nyansanan
walk: poroto
walk: poroto
walk: poroto
walk: poroto
walk: poroto
walk: poroto
walk: poto
walk: poto
walk: to
walk: to
warm: mamoa
warm: mamoa
warm: mamoa
warm: mamoa
warm: mamoan
warm: mamoan
warm: mamoan
warm: mamoan
warm: mamoan
warm: mamoan
warm: mamua
warm: mamua
warm: mamuan
warm: mamuan
wash: kovoni
wash: kubuni
wash: kuvuni
wash: mana eja
wash: mana radan
wash: mana raija
wash: ranama
wash: ranamai
wash: ranamai
wash: ranamai
wash: ranamat
wash: randondo
wash: randondo
wash: rapapi
wash: rarondo
wash: rarondo
wash: rarondom
wash: rarondom
wash: rarondom
wash: rarondom
wash: rarondom
wash: rarondom
wash: rarondom
wash: rarondom
water: karu
water: karu
water: ?karu
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
water: mana
weep: namekaru
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo
weep: poyo(wa)
weep: yob
we (incl.): re-amo
we (incl.): wamo
we (incl.): wamo
we: reia
we: reia
we: s-
wet: karu
we two (incl.): wamo
what: ainta
what: animaisye(-pi/-mi)
what: ruwi-m
when: nandui-japi/nandui-rati
when: ruwi-rati
where: miro
where: ruwi
white: bua
white: bua
white: buga
white: buga
white: bugwa
white: bugwa
white: bugwa
white: poper
white: poper
white: poper
white: poper
white: poper
white: poper
white: poper
who: ara
who: are(-pi/-mi)
who: ruwi
wife: anam
wife: anam
wife: anamu
wife: anamu
wife: anamu
wife: anamu
wife: anamu
wife: anamu
wife: anamu
wife: enamu
wife: enamu
wind: obar
wind: obar
wind: obar
wind: obar
wind: obar
wind: obar
wind: obar
wind: obar
wind: oßar
wind: oßar
wind: oßar
wind: ovar
wind: ovar
wind: ovar
wind: owa
wind: owar
wing: fafate
wing: papak
wing: papak
wing: papak
wing: papak
wing: papal
wing: pepak
wing: pepak
wing: pepak
wing: pepak
wing: pepat
wing: pepat
wing: pepat
wing: φaφate
woman: rua-mena-wie
woman: waina
woman: waina
woman: wanya
woman: wanya
woman: wanya
woman: wanya
woman: wanya
woman: wanya
wood: ɟano
wood: ɟanom
wood: danom
wood: danom
wood: jano
wood: janom
wood: njoano
wood: noʝa
wood: noda
wood: noda
wood: noja
wood: nuɟa
wood: nuja
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
wood: nyo
year: punae
yellow: boana
yellow: gua
yellow: gua
yellow: kua
yellow: kua
yellow: kuga
yellow: kuga
yellow: kuga
yellow: kuga
yellow: kuga
yellow: kugaawe
yellow: kugwa
yellow: kugwa
yellow: uga
yellow: uga
yesterday: namanawe
yesterday: namanawe
yesterday: nandinawe
you two: i-
you two: winyamo
you two: yo
you two: yo
you: wa-
you: wea
you: wea
you: weyasa
you: wyapo
