warm: tutung
warm: tutung
warm: warɑ
warm: wara
wash: b!ai
wash: laming
water: dzhar
water: dzhar
water: dzhar
water: (d)zhar
water: dzher
water: dzhial
water: dzh(i)al
water: ǯɛr
weep: bau
weep: ne-eng-(h)unung
weep: n-eng-dzhal
weep: n-eng-dzhar
weep: nɛːŋ(h)unuŋ
weep: n-eng-ono
weep: n-eng-ono
weep: n-eyng-ga-dzhial
we (incl.): pi
we (incl.): pi
we (incl.): pi(ng)
we: ni
we: ni
we: ni
we: ni(ng)
we: pi
we two (incl.): p-ole
we two: n-ole
what: naba
when: ta-veding
where: ta-\ang mi
white: ab!ál
white: habzhál
white: madzá\a
white: majha
white: majhá\a
white: mazá\a
white: mɛxɑ
white: mexa
who: nuba
wind: eang
wind: eang
wind: enar
wind: enar
wind: ɛnar
wind: enéar
wind: enéar
wing: anaung
woman: dzhagu
woman: (d)zhangu
woman: hiyal
woman: neha-dzhawng
woman: (nehé) dzangu
woman: (sa) yaghun
woman: (sɑ)yaɣuŋ
wood: ad-
wood: te
wood: tɛ
yesterday: meleng
you: i
you: i naung!
you: i(-ng)
you: øi-
you two: ole
you: yi
