identifier	encoding	kind	kept	dropped
rosettaproject_ceb_swadesh-1	utf-8	transcription	248	101
rosettaproject_ces_swadesh-1	utf-8	transcription	119	2
rosettaproject_cgc_swadesh-1	utf-8	transcription	183	3
rosettaproject_che_swadesh-1	utf-8	transcription	115	0
rosettaproject_chr_swadesh-1	utf-8	transcription	35	0
rosettaproject_chy_swadesh-1	utf-8	transcription	188	2
rosettaproject_cji_swadesh-1	utf-8	transcription	115	1
rosettaproject_cjn_swadesh-1	utf-8	transcription	15	1
rosettaproject_cjv_swadesh-1	utf-8	transcription	200	97
rosettaproject_cmn_swadesh-2	utf-8	transcription	101	0
rosettaproject_cns_swadesh-1	utf-8	transcription	847	391
rosettaproject_cog_swadesh-1	utf-8	transcription	94	0
rosettaproject_cra_swadesh-1	utf-8	transcription	61	0
rosettaproject_crk_swadesh-1	utf-8	transcription	183	0
rosettaproject_crw_swadesh-1	utf-8	transcription	89	2
rosettaproject_css_swadesh-1	utf-8	transcription	96	0
rosettaproject_dad_swadesh-1	utf-8	transcription	182	2
rosettaproject_daj_swadesh-1	utf-8	transcription	320	54
rosettaproject_dal_swadesh-1	utf-8	transcription	225	2
rosettaproject_dan_swadesh-1	utf-8	transcription	226	3
rosettaproject_dar_swadesh-1	utf-8	transcription	215	7
rosettaproject_dau_swadesh-1	utf-8	transcription	177	6
rosettaproject_dax_swadesh-1	utf-8	transcription	261	9
rosettaproject_dba_swadesh-1	utf-8	transcription	94	54
rosettaproject_dbe_swadesh-1	utf-8	transcription	84	0
rosettaproject_dbf_swadesh-1	utf-8	transcription	248	132
rosettaproject_dbl_swadesh-1	utf-8	transcription	262	347
rosettaproject_ddg_swadesh-1	utf-8	transcription	397	82
rosettaproject_ddj_swadesh-1	utf-8	transcription	222	11
rosettaproject_ddo_swadesh-1	utf-8	transcription	117	2
rosettaproject_dec_swadesh-1	utf-8	transcription	149	6
rosettaproject_ded_swadesh-1	utf-8	transcription	223	96
rosettaproject_deg_swadesh-1	utf-8	transcription	110	0
rosettaproject_dei_swadesh-1	utf-8	transcription	131	64
rosettaproject_dem_swadesh-1	utf-8	transcription	235	24
rosettaproject_deu_swadesh-1	utf-8	transcription	242	16
rosettaproject_dev_swadesh-1	utf-8	transcription	51	0
rosettaproject_dge_swadesh-1	utf-8	transcription	51	0
rosettaproject_dgh_swadesh-1	utf-8	transcription	69	0
rosettaproject_dgz_swadesh-1	utf-8	transcription	278	91
rosettaproject_dhg_swadesh-1	utf-8	transcription	634	420
rosettaproject_dhu_swadesh-1	utf-8	transcription	120	1
rosettaproject_dia_swadesh-1	utf-8	transcription	126	56
rosettaproject_dif_swadesh-1	utf-8	transcription	331	32
rosettaproject_dih_swadesh-1	utf-8	transcription	13	1
rosettaproject_dim_swadesh-1	utf-8	transcription	115	0
rosettaproject_djb_swadesh-1	utf-8	transcription	236	12
rosettaproject_djd_swadesh-1	utf-8	transcription	99	32
rosettaproject_dje_swadesh-1	utf-8	transcription	243	10
rosettaproject_dji_swadesh-1	utf-8	transcription	395	19
rosettaproject_djj_swadesh-1	utf-8	transcription	548	54
rosettaproject_djn_swadesh-1	utf-8	transcription	242	3
rosettaproject_djr_swadesh-1	utf-8	transcription	29	0
rosettaproject_dju_swadesh-1	utf-8	transcription	167	29
rosettaproject_dmc_swadesh-1	utf-8	transcription	392	75
rosettaproject_dmu_swadesh-1	utf-8	transcription	327	96
rosettaproject_dmy_swadesh-1	utf-8	transcription	450	170
rosettaproject_dna_swadesh-1	utf-8	transcription	67	1
rosettaproject_dnd_swadesh-1	utf-8	transcription	176	22
rosettaproject_dni_swadesh-1	utf-8	transcription	285	224
rosettaproject_dnr_swadesh-1	utf-8	transcription	374	81
rosettaproject_dnt_swadesh-1	utf-8	transcription	268	32
rosettaproject_dnw_swadesh-1	utf-8	transcription	642	234
rosettaproject_doa_swadesh-1	utf-8	transcription	209	74
rosettaproject_dof_swadesh-1	utf-8	transcription	146	68
rosettaproject_dol_swadesh-1	utf-8	transcription	107	32
rosettaproject_doo_swadesh-1	utf-8	transcription	223	4
rosettaproject_dox_swadesh-1	utf-8	transcription	95	0
rosettaproject_doz_swadesh-1	utf-8	transcription	97	0
rosettaproject_drl_swadesh-1	utf-8	transcription	370	69
rosettaproject_drr_swadesh-1	utf-8	transcription	18	0
rosettaproject_dru_swadesh-1	utf-8	transcription	183	3
rosettaproject_dsh_swadesh-1	utf-8	transcription	176	1
rosettaproject_dsq_swadesh-1	utf-8	transcription	175	0
rosettaproject_duc_swadesh-1	utf-8	transcription	135	83
rosettaproject_duj_swadesh-1	utf-8	transcription	551	41
rosettaproject_duk_swadesh-1	utf-8	transcription	356	128
rosettaproject_duv_swadesh-1	utf-8	transcription	388	129
rosettaproject_dyo_swadesh-1	utf-8	transcription	368	6
