identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_deu_swadesh-1	deu	two	zwei	ʦvai	
rosettaproject_deu_swadesh-1	deu	vomit	sich übergeben	ziç yberɡeben	
rosettaproject_deu_swadesh-1	deu	walk	gehen	ɡehen	
rosettaproject_deu_swadesh-1	deu	warm	heis	hais	
rosettaproject_deu_swadesh-1	deu	wash	waschen	vaʃen	
rosettaproject_deu_swadesh-1	deu	water	Waser	vazer	
rosettaproject_deu_swadesh-1	deu	water	Wasser	vaser	
rosettaproject_deu_swadesh-1	deu	we	wir	vir	
rosettaproject_deu_swadesh-1	deu	wet	nass	nas	
rosettaproject_deu_swadesh-1	deu	what	was?	vas	
rosettaproject_deu_swadesh-1	deu	when	wann	vann	
rosettaproject_deu_swadesh-1	deu	where	wo	vo	
rosettaproject_deu_swadesh-1	deu	white	weis	vais	
rosettaproject_deu_swadesh-1	deu	who	wer?	ver	
rosettaproject_deu_swadesh-1	deu	wide	breit	brait	
rosettaproject_deu_swadesh-1	deu	wife	Frau	frau	
rosettaproject_deu_swadesh-1	deu	wind	Wind	vind	
rosettaproject_deu_swadesh-1	deu	wing	Flügel	flyɡel	
rosettaproject_deu_swadesh-1	deu	wipe	wischen	viʃen	
rosettaproject_deu_swadesh-1	deu	with	mit	mit	
rosettaproject_deu_swadesh-1	deu	woman	Frau	frau	
rosettaproject_deu_swadesh-1	deu	woman	Weib	vaib	
rosettaproject_deu_swadesh-1	deu	worm	Wurm	vurm	
rosettaproject_deu_swadesh-1	deu	year	Jahr	jahr	
rosettaproject_deu_swadesh-1	deu	yellow	gelb	ɡelb	
rosettaproject_deu_swadesh-1	deu	you	ihr	ihr	
rosettaproject_epo_swadesh-1	epo	all	chio	ʦhio	
rosettaproject_epo_swadesh-1	epo	and	kaj	kaj	
rosettaproject_epo_swadesh-1	epo	animal	animalo	animalo	
rosettaproject_epo_swadesh-1	epo	ashes	cindro	ʦindro	
rosettaproject_epo_swadesh-1	epo	at	che	ʦhe	
rosettaproject_epo_swadesh-1	epo	back	dorso	dorso	
rosettaproject_epo_swadesh-1	epo	bad	malbona	malbona	
rosettaproject_epo_swadesh-1	epo	bark	shelo	shelo	
rosettaproject_epo_swadesh-1	epo	because	char	ʦhar	
rosettaproject_epo_swadesh-1	epo	belly	ventro	ventro	
rosettaproject_epo_swadesh-1	epo	big	granda	ɡranda	
rosettaproject_epo_swadesh-1	epo	bird	birdo	birdo	
rosettaproject_epo_swadesh-1	epo	bite	mordi	mordi	
rosettaproject_epo_swadesh-1	epo	black	nigra	niɡra	
rosettaproject_epo_swadesh-1	epo	blood	sango	sanɡo	
rosettaproject_epo_swadesh-1	epo	blow	blovi	blovi	
rosettaproject_epo_swadesh-1	epo	bone	osto	osto	
rosettaproject_epo_swadesh-1	epo	breast	brusto	brusto	
rosettaproject_epo_swadesh-1	epo	breast	mamo	mamo	
rosettaproject_epo_swadesh-1	epo	breathe	spiri	spiri	
rosettaproject_epo_swadesh-1	epo	burn	bruli	bruli	
rosettaproject_epo_swadesh-1	epo	child	infano	infano	
rosettaproject_epo_swadesh-1	epo	cloud	nubo	nubo	
rosettaproject_epo_swadesh-1	epo	cold	malvarma	malvarma	
rosettaproject_epo_swadesh-1	epo	come	veni	veni	
rosettaproject_epo_swadesh-1	epo	correct	ghusta	ɡhusta	
rosettaproject_epo_swadesh-1	epo	count	nombri	nombri	
rosettaproject_epo_swadesh-1	epo	cut	tranchi	tranʦhi	
rosettaproject_epo_swadesh-1	epo	day	tago	taɡo	
rosettaproject_epo_swadesh-1	epo	die	morti	morti	
rosettaproject_epo_swadesh-1	epo	dig	fosi	fosi	
rosettaproject_epo_swadesh-1	epo	dirty	malpura	malpura	
